,Tweet,Label,preprocessing_text,text_len
0,"@intermilanstory Pelatih bangsat memang ente Inzanah rasa jeruk, klw tdk mampu membawa klub ini lebih baik lagi mending mundur, INTER klub besar bkn klub yg hnya pnya target lolos UCL...",1,latih bangsat memang kamu inzanah rasa jeruk kalau mampu bawa klub lebih baik mending mundur inter klub besar bukan klub punya target lolos ucl,24
1,bangsat temen gue dimana,0,bangsat teman,2
2,@keuangannews_id Rasmus paludan harus nya di bakar hidup2 sampai mati gosong tuh si bangsat.,1,rasmus paludan nya bakar hidup mati gosong sih bangsat,9
3,@AnthonyBudiawan Memang babi ini negara.. pejabatnya pada bangsat,1,memang babi negara jabat bangsat,5
4,@bajibekasii Mampus lu bangsat,1,mampus kamu bangsat,3
5,@Tita83079013 Eh anjing justru orang2 di Agama KAFIR kaya lu bangsat yg bikin gaduh!,1,eh anjing justru orang agama kafir kamu bangsat bikin gaduh,10
6,@ruhutsitompul Bangsat loe poltak. Moga cepet mampus,1,bangsat kamu poltak moga cepat mampus,6
7,gw kenapa makan lama bgt yaoloh GW KESEL SENDIRI BANGSAT,0,makan lama sangat allah kesal sendiri bangsat,7
8,@fotodakwah eh bangsat lu masih main Twitter orang kafir...,1,eh bangsat kamu main twitter orang kafir,7
9,Kenapa disebut mantan bangsat? Karena dia ngebangsatin kamu pas lagi sayang-sayangnya.,0,sebut mantan bangsat bangsat kamu pas sayang sayang,8
10,BANGSAT GUE KAGET DUHH GUE MULES GAISSSS TOLONG GIMANA INIIIIIII MAMAHHHHHHH #MatteResistanceXWinnySatang,0,bangsat kaget duh mules guys bagaimana ibu,7
11,norak bangsat,1,norak bangsat,2
12,Markus tolol joanna bangsat samaÂ² bangsat dah,1,markus tolol joanna bangsat sama bangsat,6
13,Itu mah penerus bangsat!! Bukan penerus bangsa anjngg!!!,1,terus bangsat bukan terus bangsa anjing,6
14,"bangsat salah reply tweet, emg tolo",0,bangsat salah balas twit memang tolol,6
15,bikin repot aja bangsat,0,bikin repot bangsat,3
16,tibatiba keinget gini bangsat meresahkan banget,0,tiba tiba ingat begini bangsat resah sangat,7
17,@danawallet Nih penipu bangsat. https://t.co/588VMsnIKa,0,nih tipu bangsat,3
18,@BosPurwa Bangsat ni org,1,bangsat nih orang,3
19,@MattWalshBlog Najis banget emang si bangsat,1,najis sangat memang sih bangsat,5
20,Apasih babi Gue doain lo yg mati,1,apa sih babi doa kamu mati,6
21,@MilanEye Bangsat ini kiper tua doang tapi gak bisa ngatur..,1,bangsat kiper tua doang atur,5
22,sender baru tau kalo ternyata bangsat itu nama hewan,0,sender baru tau kalau nyata bangsat nama hewan,8
